#overland weird corners
#near covetous
#2352,897,2365,913 
#2408,856,2418,866
#2537,873,2548,883
#near deceit
#4018,428,4055,466
#outside wrong
#2011,241,2014,250

#Hythloth (empty walls (could make secret?)(5984,104) (5991,71)
#Level 1
1 5904,24,5926,30
2 5904,48,5917,61
4 5921,49,5989,53
1 5976,24,5990,26
1 5984,32,5985,47
1 5984,57,5997,69
1 5944,24,5957,29
1 5961,25,5965,42
2 5928,64,5965,68
1 5961,74,5973,85
2 5977,80,5997,92
1 5984,96,5997,109
2 5912,80,5933,85
1 5904,98,5917,109
2 5936,96,5949,109
1 5944,73,5957,101

#Level 2
1 5984,144,5997,157
1 5984,160,5989,173
1 5960,169,5983,173
3 5976,184,5989,189
1 5976,160,5981,205
1 5984,209,5989,221
1 5976,216,5971,229
1 5968,232,5976,237
3 5944,216,5965,237
1 5944,152,5949,175
1 5912,184,5941,189
1 5912,195,5932,205
3 5912,216,5925,226
4 5912,230,5925,237
4 5929,144,5962,149
1 5912,152,5917,173

#Level 3
1 6080,148,6085,157
1 6089,152,6109,157
1 6104,160,6109,171
1 6081,168,6090,189
1 6094,176,6101,187
1 6096,193,6101,221
4 6112,208,6125,229
1 6108,176,6109,181
4 6120,153,6125,173
1 6113,177,6125,181
1 6065,169,6077,173
3 6048,152,6061,163
1 6056,185,6061,205
1 6026,196,6030,197
1 6032,195,6045,203
1 6032,200,6038,206
1 6040,216,6054,225

#Level 4
1 6056,92,6069,101
1 6064,80,6085,85
2 6080,88,6085,93
1 6079,40,6085,45
1 6079,49,6101,53
1 6096,32,6109,45
2 6105,64,6109,69
1 6096,71,6101,85
1 6105,80,6117,85
1 6111,89,6117,93
1 6104,89,6108,93
1 6056,64,6061,69
1 6065,48,6069,69
2 6081,65,6085,69
1 6049,40,6060,40
1 6048,44,6061,53

#Covetous
#Level 1
1 5460,1852,5497,1855
1 5468,1873,5480,1884
2 5466,1892,5504,1893
1 5452,1920,5452,1922
4 5432,1865,5454,1907 
4 5466,1910,5496,1926 
1 5448,1932,5468,1936
1 5392,1853,5406,1866
1 5414,1852,5427,1869
2 5392,1873,5431,1883
1 5418,1894,5432,1907
2 5384,1907,5405,1919
1 5392,1927,5420,1939

#Level 2
1 5569,2000,5603,2014
2 5543,2018,5603,2035 
1 5533,1999,5548,2018
4 5488,1980,5523,2026 
4 5431,2010,5476,2038 
1 5449,1981,5482,2010
2 5441,1967,5466,1983
1 5452,1964,5482,1966
2 5410,1952,5442,1980
1 5406,1992,5426,2009

#Cells (level 4??)
2 5501,1804,5507,1813 
2 5512,1800,5541,1804 
2 5512,1813,5541,1817 
1 5513,1808,5541,1809
1 5545,1803,5549,1809 

#Level 3
2 5554,1888,5557,1915 
1 5561,1888,5561,1915
2 5565,1888,5589,1910 
1 5597,1888,5597,1915
2 5601,1888,5603,1915 
3 5552,1840,5557,1877 
1 5537,1876,5541,1885
1 5545,1880,5559,1881
